File Name,File Size,Modification Time
requirements.txt,270 Bytes,Mon Oct 23 18:35:23 2023
index.html,401 Bytes,Mon Oct 23 18:35:23 2023
README.md,2.2 kB,Mon Oct 23 18:35:23 2023
preview.png,148.0 kB,Mon Oct 23 18:35:23 2023
README.es.md,2.6 kB,Mon Oct 23 18:35:23 2023
.babelrc,595 Bytes,Mon Oct 23 18:35:23 2023
.gitignore,33 Bytes,Mon Oct 23 18:35:23 2023
index.js,823 Bytes,Mon Oct 23 18:35:23 2023
server.js,785 Bytes,Mon Oct 23 18:35:23 2023
Untitled,0 Bytes,Mon Oct 23 18:35:23 2023
package-lock.json,874.6 kB,Mon Oct 23 18:35:23 2023
learn.json,514 Bytes,Mon Oct 23 18:35:23 2023
webpack.config.js,1.3 kB,Mon Oct 23 18:35:23 2023
package.json,1.9 kB,Mon Oct 23 18:35:23 2023
icon.png,4.9 kB,Mon Oct 23 18:35:23 2023
file_data.csv,0 Bytes,Tue Oct 24 09:23:30 2023
main.py,1.0 kB,Tue Oct 24 09:23:25 2023
main.sh,13 Bytes,Mon Oct 23 18:35:23 2023
ORIG_HEAD,41 Bytes,Mon Oct 23 19:35:16 2023
FETCH_HEAD,119 Bytes,Mon Oct 23 19:35:16 2023
HEAD,23 Bytes,Mon Oct 23 18:35:23 2023
COMMIT_EDITMSG,13 Bytes,Mon Oct 23 19:35:12 2023
description,73 Bytes,Mon Oct 23 18:35:21 2023
packed-refs,114 Bytes,Mon Oct 23 18:35:23 2023
index,8.4 kB,Mon Oct 23 19:35:12 2023
config,419 Bytes,Mon Oct 23 18:37:17 2023
exclude,240 Bytes,Mon Oct 23 18:35:21 2023
HEAD,434 Bytes,Mon Oct 23 19:35:12 2023
master,434 Bytes,Mon Oct 23 19:35:12 2023
master,158 Bytes,Mon Oct 23 19:35:17 2023
HEAD,270 Bytes,Mon Oct 23 18:35:23 2023
2bf45e4102fe2875d27034f664f8544b38623e,167 Bytes,Mon Oct 23 19:35:12 2023
bad9061373f393e8a94b8ec4eac1374e3c8f73,79 Bytes,Mon Oct 23 19:35:12 2023
f43668deaac674aa20eaa76639bb86f0b9c084,674 Bytes,Mon Oct 23 19:35:12 2023
pack-232328f3ed28b321fff4a8a2e496188e0ee2a7d1.idx,3.3 kB,Mon Oct 23 18:35:23 2023
pack-232328f3ed28b321fff4a8a2e496188e0ee2a7d1.pack,1.0 MB,Mon Oct 23 19:35:12 2023
pack-b1c59c24e492ae6db9839125b5e55f667fc26420.pack,1.7 MB,Mon Oct 23 18:37:01 2023
pack-b1c59c24e492ae6db9839125b5e55f667fc26420.idx,37.7 kB,Mon Oct 23 18:37:01 2023
a386aff162b5ddf53b80030528ac6c15e4c0cd,299 Bytes,Mon Oct 23 19:35:12 2023
post-update.sample,189 Bytes,Mon Oct 23 18:35:21 2023
update.sample,3.6 kB,Mon Oct 23 18:35:21 2023
commit-msg.sample,896 Bytes,Mon Oct 23 18:35:21 2023
pre-merge-commit.sample,416 Bytes,Mon Oct 23 18:35:21 2023
push-to-checkout.sample,2.8 kB,Mon Oct 23 18:35:21 2023
applypatch-msg.sample,478 Bytes,Mon Oct 23 18:35:21 2023
pre-applypatch.sample,424 Bytes,Mon Oct 23 18:35:21 2023
pre-commit.sample,1.6 kB,Mon Oct 23 18:35:21 2023
pre-receive.sample,544 Bytes,Mon Oct 23 18:35:21 2023
pre-rebase.sample,4.9 kB,Mon Oct 23 18:35:21 2023
prepare-commit-msg.sample,1.5 kB,Mon Oct 23 18:35:21 2023
pre-push.sample,1.4 kB,Mon Oct 23 18:35:21 2023
fsmonitor-watchman.sample,4.7 kB,Mon Oct 23 18:35:21 2023
master,41 Bytes,Mon Oct 23 19:35:12 2023
master,41 Bytes,Mon Oct 23 19:35:17 2023
HEAD,32 Bytes,Mon Oct 23 18:35:23 2023
console_master.md,847 Bytes,Mon Oct 23 18:35:23 2023
dragon-ball-jokes.md,1.1 kB,Mon Oct 23 18:35:23 2023
trophy.txt,6.4 kB,Mon Oct 23 18:35:23 2023
jquery.png,16.7 kB,Mon Oct 23 18:35:23 2023
js.png,22.4 kB,Mon Oct 23 18:35:23 2023
breathecode.shadow.png,50.6 kB,Mon Oct 23 18:35:23 2023
css3.png,26.0 kB,Mon Oct 23 18:35:23 2023
c9.png,32.5 kB,Mon Oct 23 18:35:23 2023
babel.png,31.6 kB,Mon Oct 23 18:35:23 2023
scale.fix.js,536 Bytes,Mon Oct 23 18:35:23 2023
dropzone.js,64.4 kB,Mon Oct 23 18:35:23 2023
webpack.png,17.2 kB,Mon Oct 23 18:35:23 2023
html5.png,23.6 kB,Mon Oct 23 18:35:23 2023
sass.png,33.6 kB,Mon Oct 23 18:35:23 2023
hello.txt,5.2 kB,Mon Oct 23 18:35:23 2023
the-mostboring-text.txt,125 Bytes,Mon Oct 23 18:35:23 2023
myfirstcopy.txt,125 Bytes,Mon Oct 23 18:35:23 2023
rigoberto.jpg,39.8 kB,Mon Oct 23 18:35:23 2023
borat.success.jpg,23.8 kB,Mon Oct 23 18:35:23 2023
einstein.png,146.3 kB,Mon Oct 23 18:35:23 2023
scared-baby.jpg,29.6 kB,Mon Oct 23 18:35:23 2023
regexer.1.css,2.7 kB,Mon Oct 23 18:35:23 2023
rigoberto.1.jpg,39.8 kB,Mon Oct 23 18:35:23 2023
keyboard.html,5.8 kB,Mon Oct 23 18:35:23 2023
regexer.js,21.9 kB,Mon Oct 23 18:35:23 2023
baby.jpg,112.3 kB,Mon Oct 23 18:35:23 2023
keyboard.1.html,5.8 kB,Mon Oct 23 18:35:23 2023
scared-baby.1.jpg,29.6 kB,Mon Oct 23 18:35:23 2023
kids.1.jpg,57.2 kB,Mon Oct 23 18:35:23 2023
view-source_projects.breathecode.local_p_php_senior_msql_mysql-tester_.htm,396 Bytes,Mon Oct 23 18:35:23 2023
mouse.html,4.5 kB,Mon Oct 23 18:35:23 2023
script.js,1.5 kB,Mon Oct 23 18:35:23 2023
baby.success.1.jpg,26.5 kB,Mon Oct 23 18:35:23 2023
einstein.1.png,146.3 kB,Mon Oct 23 18:35:23 2023
mouse.1.html,4.5 kB,Mon Oct 23 18:35:23 2023
valid.png,1.5 kB,Mon Oct 23 18:35:23 2023
regexer.css,2.7 kB,Mon Oct 23 18:35:23 2023
forms.1.html,4.6 kB,Mon Oct 23 18:35:23 2023
baby.success.jpg,26.5 kB,Mon Oct 23 18:35:23 2023
forms.html,4.6 kB,Mon Oct 23 18:35:23 2023
frame.1.html,3.7 kB,Mon Oct 23 18:35:23 2023
invalid.png,10.0 kB,Mon Oct 23 18:35:23 2023
kids.jpg,57.2 kB,Mon Oct 23 18:35:23 2023
borat.success.1.jpg,23.8 kB,Mon Oct 23 18:35:23 2023
frame.html,3.7 kB,Mon Oct 23 18:35:23 2023
regexer.1.js,21.9 kB,Mon Oct 23 18:35:23 2023
the-ultimate-joke.txt,71 Bytes,Mon Oct 23 18:35:23 2023
invalid.png,10.0 kB,Mon Oct 23 18:35:23 2023
validate-integrity.yml,284 Bytes,Mon Oct 23 18:35:23 2023
preview.png,148.0 kB,Mon Oct 23 18:35:23 2023
data.json,1.8 kB,Mon Oct 23 18:35:23 2023
index.js,3.5 kB,Mon Oct 23 18:35:23 2023
devcontainer.json,785 Bytes,Mon Oct 23 18:35:23 2023
